detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,creditCompleteMonth,payerEmail,payerBusinessName,payeeEmail,payeeBusinessName,creditRail,transactionProcessingMethodRaw,fundingMethodUsed,payeeAmountCurrency,payeeAmount,usdAmountDebited,paymentUsdEquivalentAmount,estRevenue,txnTypeRaw,isRTP,isFasterAch,partnerGroupSource,initiatorStatus,typeDefn,reversalDate,paymentPriority,stampliFxDirection,customerMarkupPct,stampliBuyRatePct,stampliMarkupPct,stampliMarkupPctCalculated,stampliMarkupPctUsed,stampliMarkupPctMatchesSheet,stampliMarkupAmount,stampliMarkupAmountProvided,stampliMarkupAmountCalculated,stampliMarkupAmountMatchesSheet,midMarketFallbackUsed
transaction,offline_billing,Stampli,2026-05,7343636,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1545669,payment,2026-04-27,2026-05-01,2026-05,4536012191743429015ae576d02895e43c98fcaaeb29e42e8f9@stampli.com,World Insurance Associates LLC,worldinsurance-4db0c12b-c865-4aa3-b4da-f79405bdefb6-USD@stampli.com,RegEd Inc,CITI,Nacha,Bank,USD,1343.1,1343.1,1343.1,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7353176,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1576444,payment,2026-04-28,2026-05-04,2026-05,271182232174681293327931234f7354dbeaa2b66d3cf3d309a@stampli.com,National Debt Relief LLC,ndr-c61a516a-8528-4dce-8a17-551bc6d70958-USD@stampli.com,"Iron Mountain Receivables QRS, LLC",CITI,Nacha,Bank,USD,276.16,276.16,276.16,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341778,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1833232,payment,2026-04-27,2026-05-01,2026-05,87378518517701388817ae8e52d9d704c5a86a83807c493e561@stampli.com,SBO MSO LLC,suburbanortho-2c8047b1-5d4e-4311-8beb-519a6a3df21d-USD@stampli.com,"K & M Printing CO., Inc.",CITI,Nacha,Bank,USD,808.5,808.5,808.5,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7346647,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1908855,payment,2026-04-27,2026-05-01,2026-05,4312032261776357932d411bb297f6e49ea97e093b4a75dcc82@stampli.com,"C. Bennett Building Supply, Inc.",cbennett-121fd07f-71ae-4bff-92ae-f043e5c601c2-USD@stampli.com,"EAN SERVICES, LLC",CITI,Nacha,Bank,USD,3316.95,3316.95,3316.95,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7344455,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1463341,payment,2026-04-27,2026-05-01,2026-05,133954527173453672954fda82db0114057bd8e11ee967687e0@stampli.com,Clove Lakes Nursing & Rehabilitation,infinitecare-5096a269-0de9-43fa-a16e-39f40ff70d80-USD@stampli.com,Island Wholesale,CITI,Nacha,Bank,USD,7830.41,7830.41,7830.41,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7351742,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1506252,payment,2026-04-28,2026-05-04,2026-05,201449792173954704638080b9e6466448392ec2aba0644b6e5@stampli.com,"Crouch Recreation, Inc.",crouchrec-00769dac-b9fd-4737-9974-f1f43d4f3f51-USD@stampli.com,"Kompan, Inc. - CROUCH RECREATION, INC.",CITI,Nacha,Bank,USD,18598.27,18598.27,18598.27,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7354212,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1398663,payment,2026-04-28,2026-05-04,2026-05,4741219141725907143caf7a06eebd44e1180f9fe548d2bba9d@stampli.com,Sage Oak Charter Schools,sageoak-30150d8c-c7bd-4ab2-a851-f124bbb1e8f9-USD@stampli.com,Amazon Capital Services,CITI,Nacha,Bank,USD,3674.78,3674.78,3674.78,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341569,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1405666,payment,2026-04-27,2026-05-01,2026-05,5706498521726669932264ad100a2764d2dab077ed6e688e0cd@stampli.com,Le Creuset of America Inc.,lecreuset-9e7d9bf2-6130-4c1d-9fe8-78387e28368e-USD@stampli.com,The New York Times Company,CITI,Nacha,Bank,USD,16952.6,16952.6,16952.6,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352099,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1400372,payment,2026-04-28,2026-05-04,2026-05,83198842817260717449261e659b86544cdba37cd36b0709ec1@stampli.com,TCI Texarkana Inc,tka-8cb08059-4b41-4d70-aa6b-b07e2d7831e6-USD@stampli.com,PROFORMA BGX MARKETING,CITI,Nacha,Bank,USD,7870,7870,7870,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7356083,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1776048,payment,2026-04-28,2026-05-04,2026-05,92005772717649531274849ef31f29340f2a137c44164046802@stampli.com,Chugach School District,chugachschools-8ab7245b-64d2-4ed0-93a8-d7797760bd6b-USD@stampli.com,"ANDERSEN, RACHEL",CITI,Nacha,Bank,USD,565.82,565.82,565.82,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352201,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1410285,payment,2026-04-28,2026-05-04,2026-05,88262565317272917646f820610445f4450b4b3501b8e7ec1f9@stampli.com,Osceola SNF Operations LLC,adventgroup-7c46ae9f-47aa-4c45-8890-a3a0a7bbc630-USD@stampli.com,"DIRECT SUPPLY, INC.",CITI,Nacha,Bank,USD,2297.57,2297.57,2297.57,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342127,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1398663,payment,2026-04-27,2026-05-01,2026-05,4741219141725907143caf7a06eebd44e1180f9fe548d2bba9d@stampli.com,Sage Oak Charter Schools,sageoak-5f52c5f9-7f60-4daf-97eb-f5db763e4e42-USD@stampli.com,Schoolhouse Discoveries,CITI,Nacha,Bank,USD,135.9,135.9,135.9,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7353083,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1818044,payment,2026-04-28,2026-05-04,2026-05,9222175391768852734eb56caaa7e6d4a4f993f050072edc36b@stampli.com,Celebration,adventgroup-967c029e-6fc6-4fc5-9065-c2dc62214d58-USD@stampli.com,VINEYARD GRAPHICS LLC,CITI,Nacha,Bank,USD,500,500,500,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7354105,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1753258,payment,2026-04-28,2026-05-04,2026-05,3334104361763066732fa1e62dc4b0f4997a4cece3b85df9c83@stampli.com,CTR Services Northwest,ctrdental-93ca9f0a-b7b7-439a-9b6a-0bab010aa092-USD@stampli.com,Crystal Falls,CITI,Nacha,Bank,USD,84,84,84,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355207,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1695275,payment,2026-04-28,2026-05-04,2026-05,833577905175829047140e5fa119dfa44008e8d1a8fb8df6a68@stampli.com,"MPP Infusion Center of Orlando, LLC",vivoap-ecc59d6e-91cb-49db-942f-3cbbaddba0b9-USD@stampli.com,Medline,CITI,Nacha,Bank,USD,93.33,93.33,93.33,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7343504,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1414304,payment,2026-04-27,2026-05-01,2026-05,95454852117277327214e37373c4f2f4edc89904c8fefad9d5d@stampli.com,ICEF Public Schools,icefps-f2179e2c-218c-473f-b873-439e211fb76c-USD@stampli.com,Autonomous Behavior Solutions,CITI,Nacha,Bank,USD,1723.75,1723.75,1723.75,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342124,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1889065,payment,2026-04-27,2026-05-01,2026-05,203074713177505293232db2adb0fc44a9b9c424aab29ad6417@stampli.com,"CFN Services, Inc.",apcela-891d5831-a36a-4db2-a057-001e07207096-USD@stampli.com,"Rees Broome, PC",CITI,Nacha,Bank,USD,1833.05,1833.05,1833.05,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342759,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1343750,payment,2026-04-27,2026-05-01,2026-05,9203282381718407844f5ee6323688244f49369c7b8b5e52480@stampli.com,"LB Moab Owner, LLC",inventdp-e9cb6246-3c5c-45fd-adc3-f4982e51492b-USD@stampli.com,Brownstein Hyatt Farber Schreck LLP,CITI,Nacha,Bank,USD,2254.23,2254.23,2254.23,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342675,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1408618,payment,2026-04-27,2026-05-01,2026-05,27314252217271230816b3f4406f39a4477949c02052056b5e2@stampli.com,GlobalHealth Holdings,globalhealth-4d5fc112-b4c9-4542-a3e4-9bfaeaedba8e-USD@stampli.com,WEST PUBLISHING CORP,CITI,Nacha,Bank,USD,890.67,890.67,890.67,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355444,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1612582,payment,2026-04-28,2026-05-04,2026-05,47476048717502660375ad6ea42d69c495b94236884772b6685@stampli.com,RedMed of Lakewood,redmed-9c8e653c-0395-45e0-8105-f3377e592afd-USD@stampli.com,"2899 NS Lands, LLC",CITI,Nacha,Bank,USD,10084.38,10084.38,10084.38,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352295,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1410285,payment,2026-04-28,2026-05-04,2026-05,88262565317272917646f820610445f4450b4b3501b8e7ec1f9@stampli.com,Osceola SNF Operations LLC,adventgroup-6d91a396-2389-4712-b3db-f44c92c39b33-USD@stampli.com,"MEDLINE INDUSTRIES, INC",CITI,Nacha,Bank,USD,1889.67,1889.67,1889.67,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7353178,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1576444,payment,2026-04-28,2026-05-04,2026-05,271182232174681293327931234f7354dbeaa2b66d3cf3d309a@stampli.com,National Debt Relief LLC,ndr-f509e7f4-5bde-4d57-afeb-92fe5cf84033-USD@stampli.com,Incharge Education Foundation Corp,CITI,Nacha,Bank,USD,330,330,330,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352898,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904789,payment,2026-04-28,2026-05-04,2026-05,86243404317761770410fccf4ff0c134871921f2398b8773ea8@stampli.com,Henrico Health and Rehabilitation Center,hrtgcs-377cb69e-f472-447e-8a84-8c5e9228fc35-USD@stampli.com,ApplicantSafe,CITI,Nacha,Bank,USD,164,164,164,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7347246,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1792040,payment,2026-04-27,2026-05-01,2026-05,95287593117664372343710f536202c41ecb1509fbd00d132b2@stampli.com,American Golf Corporation,agc-3fb8fbae-faa2-4533-b4ed-aa32e9618d16-USD@stampli.com,"Coast Party Rentals, Inc.",CITI,Nacha,Bank,USD,535,535,535,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7339688,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1476825,payment,2026-04-27,2026-05-01,2026-05,13263063417364411192bcb1ce889694585b27c99fdb0255b65@stampli.com,"Bentex Group, Inc.",bentexgroup-5ff138d6-2ef3-45cf-bfae-10a151209c1d-USD@stampli.com,"AMERICAN RECORD MANAGEMENT SYSTEMS,INC.",CITI,Nacha,Bank,USD,231.26,231.26,231.26,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7341067,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1736725,payment,2026-04-27,2026-05-01,2026-05,2084575421761677129757af853d46e4a50892372a66af4410d@stampli.com,"RFD-TV, LLC",rfdtv-dd5e449b-b6c1-4099-9020-e7e393703786-USD@stampli.com,CDW Direct,CITI,Nacha,Bank,USD,4168.55,4168.55,4168.55,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352356,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904981,payment,2026-04-28,2026-05-04,2026-05,99119887217761807106b6cb3ba17b343d496e17c0a73cca148@stampli.com,King Operator LLC,hrtgcs-510244f0-9d98-4113-abb2-dd5aebde9225-USD@stampli.com,Ashpa Management,CITI,Nacha,Bank,USD,550,550,550,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7345555,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1423600,payment,2026-04-27,2026-05-01,2026-05,84495516617289657292e89cecec4c2435c95b729cc904d3272@stampli.com,Golden Hill Nursing &amp; Rehabilitation,infinitecare-aa724f3c-728f-4fde-bb9d-d26b792ce1ce-USD@stampli.com,wht Wound Healing Technologies,CITI,Nacha,Bank,USD,332.64,332.64,332.64,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7342591,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1333652,payment,2026-04-27,2026-05-01,2026-05,3008935811716928243e906e45f35ba487c907582519379338d@stampli.com,"National Grid Renewables Development, LLC",nationalgridrenewables-31cbddbe-e753-4698-b58f-ee518a136598-USD@stampli.com,RYGE LLC,CITI,Nacha,Bank,USD,9771.8,9771.8,9771.8,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7355413,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1438746,payment,2026-04-28,2026-05-04,2026-05,47566991517307558472e561fb8a02f4eaf8e97aa40ad64e23a@stampli.com,"World 50, LLC",world50-db1aa2ae-772b-443e-81d7-fd955d252518-USD@stampli.com,VedderPrice,CITI,Nacha,Bank,USD,10912,10912,10912,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7343041,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1423368,payment,2026-04-27,2026-05-01,2026-05,2728855721728935632ba82b0e225de4191b242ccb0cc66b092@stampli.com,"Strategic Dental Executives, LLC",cdp-e2e1ed5a-781e-4c9f-b9de-6ae9bca4705d-USD@stampli.com,SmileMakers,CITI,Nacha,Bank,USD,181.28,181.28,181.28,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352043,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1904981,payment,2026-04-28,2026-05-04,2026-05,99119887217761807106b6cb3ba17b343d496e17c0a73cca148@stampli.com,King Operator LLC,hrtgcs-b2278eb6-b521-4242-8adb-4fb1d7713113-USD@stampli.com,Turning-Point Consulting,CITI,Nacha,Bank,USD,4250,4250,4250,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7347822,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1901267,payment,2026-04-27,2026-05-01,2026-05,2038287551775859319d8dcc942f51e41e2ae1f0c5f4d2e3577@stampli.com,"AnaptysBio, Inc.",anaptysbio-ddb4e97a-cb7b-4ecf-9cca-3789aaf99f9c-USD@stampli.com,Allucent (US) LLC,CITI,Nacha,Bank,USD,34795.29,34795.29,34795.29,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
transaction,offline_billing,Stampli,2026-05,7352334,Domestic,Standard,ACH,Bank,Bank,USD,USD,US,US,1921976,payment,2026-04-28,2026-05-04,2026-05,82348509717773101267d89428fbf9947a08e4903b5b7d765ce@stampli.com,KMD Aurora LP,dahncorp-2b59e7e5-c612-4976-8538-183b4c98f3a3-USD@stampli.com,"KeysCPA, Inc.",CITI,Nacha,Bank,USD,2200,2200,2200,0,Domestic,false,false,Stampli,,,,,,,,,,,,,,,,
